,Port,Port_Code,State_Country,Port_Name
445,"FREDERIKSTED, VI      ",FRK,VI,FREDERIKSTED
446,"ST THOMAS, VI         ",STT,VI,ST THOMAS
447,"CACHE AIRPORT - LOGAN, UT",LGU,UT,CACHE AIRPORT - LOGAN
448,"SALT LAKE CITY, UT    ",SLC,UT,SALT LAKE CITY
449,"ALBEMARLE CHARLOTTESVILLE, VA",CHO,VA,ALBEMARLE CHARLOTTESVILLE
450,"DAVISON AAF - FAIRFAX CNTY, VA",DAA,VA,DAVISON AAF - FAIRFAX CNTY
451,"HOPEWELL, VA          ",HOP,VA,HOPEWELL
452,"MANASSAS, VA #ARPT",HEF,VA,MANASSAS
453,"NEWPORT, VA           ",NWN,VA,NEWPORT
454,"NORFOLK, VA           ",NOR,VA,NORFOLK
455,"RICHMOND, VA          ",RCM,VA,RICHMOND
456,"ALBURG SPRINGS, VT    ",ABS,VT,ALBURG SPRINGS
457,"ALBURG, VT            ",ABG,VT,ALBURG
458,"BEEBE PLAIN, VT       ",BEB,VT,BEEBE PLAIN
459,"BEECHER FALLS, VT     ",BEE,VT,BEECHER FALLS
460,"BURLINGTON, VT        ",BRG,VT,BURLINGTON
461,"CANAAN, VT            ",CNA,VT,CANAAN
462,"DERBY LINE, VT (I-91) ",DER,VT (I-91),DERBY LINE
463,"DERBY LINE, VT (RT. 5)",DLV,VT (RT. 5),DERBY LINE
464,"EAST RICHFORD, VT     ",ERC,VT,EAST RICHFORD
465,"HIGHGATE SPRINGS, VT  ",HIG,VT,HIGHGATE SPRINGS
466,"MORSES LINE, VT       ",MOR,VT,MORSES LINE
467,"NEWPORT, VT           ",NPV,VT,NEWPORT
468,"NORTH TROY, VT        ",NRT,VT,NORTH TROY
469,"NORTON, VT            ",NRN,VT,NORTON
470,"PINNACLE ROAD, VT     ",PIV,VT,PINNACLE ROAD
471,"RICHFORT, VT          ",RIF,VT,RICHFORT
472,"ST ALBANS, VT         ",STA,VT,ST ALBANS
473,"SWANTON, VT (BP - SECTOR HQ)",SWB,VT (BP - SECTOR HQ),SWANTON
474,"WEST BERKSHIRE, VT    ",WBE,VT,WEST BERKSHIRE
475,"ABERDEEN, WA          ",ABE,WA,ABERDEEN
476,"ANACORTES, WA         ",ANA,WA,ANACORTES
477,"BELLINGHAM, WA        ",BEL,WA,BELLINGHAM
478,"BELLINGHAM, WASHINGTON #INTL",BLI,WASHINGTON #INTL,BELLINGHAM
479,"BLAINE, WA            ",BLA,WA,BLAINE
480,"BOUNDARY, WA          ",BWA,WA,BOUNDARY
481,"CURLEW, WA (BPS)",CUR,WA,CURLEW
482,"DANVILLE, WA          ",DVL,WA,DANVILLE
483,"EVERETT, WA           ",EVE,WA,EVERETT
484,"FERRY, WA             ",FER,WA,FERRY
485,"FRIDAY HARBOR, WA     ",FRI,WA,FRIDAY HARBOR
486,"FRONTIER, WA          ",FWA,WA,FRONTIER
487,"KALAMA, WA            ",KLM,WA,KALAMA
488,"LAURIER, WA           ",LAU,WA,LAURIER
489,"LONGVIEW, WA          ",LON,WA,LONGVIEW
490,"METALINE FALLS, WA    ",MET,WA,METALINE FALLS
491,"MOSES LAKE GRANT COUNTY ARPT, WA",MWH,WA,MOSES LAKE GRANT COUNTY ARPT
492,"NEAH BAY, WA          ",NEA,WA,NEAH BAY
493,"NIGHTHAWK, WA         ",NIG,WA,NIGHTHAWK
494,"OLYMPIA, WA           ",OLY,WA,OLYMPIA
495,"OROVILLE, WA          ",ORO,WA,OROVILLE
496,"PASCO, WA             ",PWB,WA,PASCO
497,"POINT ROBERTS, WA     ",PIR,WA,POINT ROBERTS
498,"PORT ANGELES, WA      ",PNG,WA,PORT ANGELES
499,"PORT TOWNSEND, WA     ",PTO,WA,PORT TOWNSEND
500,"SEATTLE, WA           ",SEA,WA,SEATTLE
501,"SPOKANE, WA           ",SPO,WA,SPOKANE
502,"SUMAS, WA             ",SUM,WA,SUMAS
503,"TACOMA, WA            ",TAC,WA,TACOMA
504,"TRI-CITIES - PASCO, WA",PSC,WA,TRI-CITIES - PASCO
505,"VANCOUVER, WA         ",VAN,WA,VANCOUVER
506,"ALGOMA, WI            ",AGM,WI,ALGOMA
507,"BAYFIELD, WI          ",BAY,WI,BAYFIELD
508,"GREEN BAY, WI         ",GRB,WI,GREEN BAY
509,"MANITOWOC, WI         ",MNW,WI,MANITOWOC
510,"MILWAUKEE, WI         ",MIL,WI,MILWAUKEE
511,"TRUAX FIELD - DANE COUNTY, WI",MSN,WI,TRUAX FIELD - DANE COUNTY
512,"CHARLESTON, WV        ",CHS,WV,CHARLESTON
513,"CLARKSBURG, WV        ",CLK,WV,CLARKSBURG
514,"MERCER COUNTY, WV",BLF,WV,MERCER COUNTY
515,"CASPER, WY            ",CSP,WY,CASPER
516,NOT REPORTED/UNKNOWN  ,XXX,NOT REPORTED/UNKNOWN,NOT REPORTED/UNKNOWN
517,UNIDENTIFED AIR / SEAPORT,888,UNIDENTIFED AIR / SEAPORT,UNIDENTIFED AIR / SEAPORT
518,UNKNOWN POE           ,UNK,UNKNOWN POE,UNKNOWN POE
519,"CALGARY, CANADA       ",CLG,CANADA,CALGARY
520,"EDMONTON, CANADA      ",EDA,CANADA,EDMONTON
521,"HAKAI PASS, CANADA",YHC,CANADA,HAKAI PASS
522,"Halifax, NS, Canada   ",HAL,Canada,Halifax
523,"MONTREAL, CANADA      ",MON,CANADA,MONTREAL
524,"OTTAWA, CANADA        ",OTT,CANADA,OTTAWA
525,"SASKATOON, CANADA",YXE,CANADA,SASKATOON
526,"TORONTO, CANADA       ",TOR,CANADA,TORONTO
527,"VANCOUVER, CANADA     ",VCV,CANADA,VANCOUVER
528,"VICTORIA, CANADA      ",VIC,CANADA,VICTORIA
529,"WINNIPEG, CANADA      ",WIN,CANADA,WINNIPEG
530,"AMSTERDAM-SCHIPHOL, NETHERLANDS",AMS,NETHERLANDS,AMSTERDAM-SCHIPHOL
531,"ARUBA, NETH ANTILLES  ",ARB,NETH ANTILLES,ARUBA
532,"BANKOK, THAILAND      ",BAN,THAILAND,BANKOK
533,"BEICA #ARPT, ETHIOPIA",BEI,ETHIOPIA,BEICA #ARPT
534,"BEIJING CAPITAL INTL, PRC",PEK,PRC,BEIJING CAPITAL INTL
535,"KINDLEY FIELD, BERMUDA",BDA,BERMUDA,KINDLEY FIELD
536,"BOGOTA, EL DORADO #ARPT, COLOMBIA",BOG,COLOMBIA,BOGOTA
537,"BUENOS AIRES, MINISTRO PIST, ARGENTINA",EZE,ARGENTINA,BUENOS AIRES
538,"CANCUN, MEXICO",CUN,MEXICO,CANCUN
539,"CARAVELAS, BA #ARPT, BRAZIL",CRQ,BRAZIL,CARAVELAS
540,"CARRASCO, URUGUAY",MVD,URUGUAY,CARRASCO
541,"DUBLIN, IRELAND       ",DUB,IRELAND,DUBLIN
542,"FOUGAMOU #ARPT, GABON",FOU,GABON,FOUGAMOU #ARPT
543,"FREEPORT, BAHAMAS      ",FBA,BAHAMAS,FREEPORT
544,"GEN M. ESCOBEDO, Monterrey, MX",MTY,MX,GEN M. ESCOBEDO
545,"GEN PESQUEIRA GARCIA, MX",HMO,MX,GEN PESQUEIRA GARCIA
546,"GRAND CAYMAN, CAYMAN ISLAND",GCM,CAYMAN ISLAND,GRAND CAYMAN
547,"GUADALAJARA, MIGUEL HIDAL, MX",GDL,MX,GUADALAJARA
548,"HAMILTON, BERMUDA     ",HAM,BERMUDA,HAMILTON
549,"INCHON, SEOUL KOREA",ICN,SEOUL KOREA,INCHON
550,"INVALID - IWAKUNI, JAPAN",IWA,JAPAN,INVALID - IWAKUNI
551,"KOGALNICEANU, ROMANIA",CND,ROMANIA,KOGALNICEANU
552,"LABUHA ARPT, INDONESIA",LAH,INDONESIA,LABUHA ARPT
553,"LOUIS BOTHA, SOUTH AFRICA",DUR,SOUTH AFRICA,LOUIS BOTHA
554,"MANGOLE ARPT, INDONESIA",MAL,INDONESIA,MANGOLE ARPT
555,"MEDELLIN, COLOMBIA",MDE,COLOMBIA,MEDELLIN
556,"JUAREZ INTL, MEXICO CITY, MX",MEX,MX,JUAREZ INTL
557,"MIDDLESEX, ENGLAND",LHR,ENGLAND,MIDDLESEX
558,"NAIROBI, KENYA        ",NBO,KENYA,NAIROBI
559,"NASSAU, BAHAMAS       ",NAS,BAHAMAS,NASSAU
560,"NORTH CAICOS, TURK & CAIMAN",NCA,TURK & CAIMAN,NORTH CAICOS
561,"OMAR TORRIJOS, PANAMA",PTY,PANAMA,OMAR TORRIJOS
562,"PAPUA, NEW GUINEA",SPV,NEW GUINEA,PAPUA
563,"QUITO (MARISCAL SUCR), ECUADOR",UIO,ECUADOR,QUITO (MARISCAL SUCR)
564,"ROME, ITALY           ",RIT,ITALY,ROME
565,"SAKON NAKHON #ARPT, THAILAND",SNO,THAILAND,SAKON NAKHON #ARPT
566,"SAN LUIS POTOSI #ARPT, MEXICO",SLP,MEXICO,SAN LUIS POTOSI #ARPT
567,"SAN SALVADOR, EL SALVADOR",SAN,EL SALVADOR,SAN SALVADOR
568,"SANTANA RAMOS #ARPT, COLOMBIA",SRO,COLOMBIA,SANTANA RAMOS #ARPT
569,"GUARULHOS INTL, SAO PAULO, BRAZIL",GRU,BRAZIL,GUARULHOS INTL
570,"SHANNON, IRELAND      ",SHA,IRELAND,SHANNON
571,"SHILLAVO, ETHIOPIA",HIL,ETHIOPIA,SHILLAVO
572,"TOROKINA #ARPT, PAPUA, NEW GUINEA",TOK,NEW GUINEA,TOROKINA #ARPT
573,"VERACRUZ, MEXICO",VER,MEXICO,VERACRUZ
574,"WEST SUSSEX, ENGLAND  ",LGW,ENGLAND,WEST SUSSEX
575,MEXICO Land (Banco de Mexico) ,ZZZ,MEXICO Land (Banco de Mexico),MEXICO Land (Banco de Mexico)
576,No PORT Code (CHN),CHN,No PORT Code (CHN),No PORT Code (CHN)
577,"CANNON CORNERS, NY",CNC,NY,CANNON CORNERS
578,Abu Dhabi,MAA,Abu Dhabi,Abu Dhabi
579,"MAGNOLIA, AR",AG0,AR,MAGNOLIA
580,"BAR HARBOR, ME",BHM,ME,BAR HARBOR
581,"BIRMINGHAM, AL",BHX,AL,BIRMINGHAM
582,"AKRON, OH",CAK,OH,AKRON
583,"SUFFOLK COUNTY, NY",FOK,NY,SUFFOLK COUNTY
584,"LANDER, WY",LND,WY,LANDER
585,"MARFA, TX",MAR,TX,MARFA
586,"MOLINE, IL",MLI,IL,MOLINE
587,"RIVERSIDE, CA",RIV,CA,RIVERSIDE
588,"ROME, NY",RME,NY,ROME
589,"VAN NUYS, CA",VNY,CA,VAN NUYS
590,"YUMA, AZ",YUM,AZ,YUMA
