,Port,Port_Code,State_Country,Port_Name
DET,"DETROIT, MI           ",DET,AK,ALCAN
GRP,"GRAND RAPIDS, MI",GRP,AK,ALCAN
GRO,"GROSSE ISLE, MI       ",GRO,AK,ALCAN
ISL,"ISLE ROYALE, MI       ",ISL,AK,ALCAN
MRC,"MARINE CITY, MI       ",MRC,AK,ALCAN
MRY,"MARYSVILLE, MI        ",MRY,AK,ALCAN
PTK,"OAKLAND COUNTY - PONTIAC, MI",PTK,AK,ALCAN
PHU,"PORT HURON, MI        ",PHU,AK,ALCAN
RBT,"ROBERTS LANDING, MI   ",RBT,AK,ALCAN
SAG,"SAGINAW, MI           ",SAG,AK,ALCAN
SSM,"SAULT STE. MARIE, MI  ",SSM,AK,ALCAN
SCL,"ST CLAIR, MI          ",SCL,AK,ALCAN
YIP,"WILLOW RUN - YPSILANTI, MI",YIP,AK,ALCAN
BAU,"BAUDETTE, MN          ",BAU,AK,ALCAN
CAR,"CARIBOU MUNICIPAL AIRPORT, MN",CAR,AK,ALCAN
GTF,"Collapsed into INT, MN",GTF,AK,ALCAN
INL,"Collapsed into INT, MN",INL,AK,ALCAN
CRA,"CRANE LAKE, MN        ",CRA,AK,ALCAN
MIC,"CRYSTAL MUNICIPAL AIRPORT, MN",MIC,AK,ALCAN
DUL,"DULUTH, MN            ",DUL,AK,ALCAN
ELY,"ELY, MN               ",ELY,AK,ALCAN
GPM,"GRAND PORTAGE, MN     ",GPM,AK,ALCAN
SVC,"GRANT COUNTY - SILVER CITY, MN",SVC,AK,ALCAN
INT,"INTL FALLS, MN      ",INT,AK,ALCAN
LAN,"LANCASTER, MN         ",LAN,AK,ALCAN
MSP,"MINN./ST PAUL, MN     ",MSP,AK,ALCAN
LIN,"NORTHERN SVC CENTER, MN   ",LIN,AK,ALCAN
NOY,"NOYES, MN             ",NOY,AK,ALCAN
PIN,"PINE CREEK, MN        ",PIN,AK,ALCAN
48Y,"PINECREEK BORDER ARPT, MN",48Y,AK,ALCAN
RAN,"RAINER, MN            ",RAN,AK,ALCAN
RST,"ROCHESTER, MN",RST,AK,ALCAN
ROS,"ROSEAU, MN            ",ROS,AK,ALCAN
SPM,"ST PAUL, MN           ",SPM,AK,ALCAN
WSB,"WARROAD INTL, SPB, MN",WSB,AK,ALCAN
WAR,"WARROAD, MN           ",WAR,AK,ALCAN
KAN,"KANSAS CITY, MO       ",KAN,AK,ALCAN
SGF,"SPRINGFIELD-BRANSON, MO",SGF,AK,ALCAN
STL,"ST LOUIS, MO          ",STL,AK,ALCAN
WHI,"WHITETAIL, MT         ",WHI,AK,ALCAN
WHM,"WILD HORSE, MT        ",WHM,AK,ALCAN
GPT,"BILOXI REGIONAL, MS",GPT,AK,ALCAN
GTR,"GOLDEN TRIANGLE LOWNDES CNTY, MS",GTR,AK,ALCAN
GUL,"GULFPORT, MS          ",GUL,AK,ALCAN
PAS,"PASCAGOULA, MS        ",PAS,AK,ALCAN
JAN,"THOMPSON FIELD - JACKSON, MS",JAN,AK,ALCAN
BIL,"BILLINGS, MT          ",BIL,AK,ALCAN
BTM,"BUTTE, MT             ",BTM,AK,ALCAN
CHF,"CHIEF MT, MT          ",CHF,AK,ALCAN
CTB,"CUT BANK MUNICIPAL, MT",CTB,AK,ALCAN
CUT,"CUT BANK, MT          ",CUT,AK,ALCAN
DLB,"DEL BONITA, MT        ",DLB,AK,ALCAN
EUR,"EUREKA, MT (BPS)",EUR,AK,ALCAN
BZN,"GALLATIN FIELD - BOZEMAN, MT",BZN,AK,ALCAN
FCA,"GLACIER NATIONAL PARK, MT",FCA,AK,ALCAN
GGW,"GLASGOW, MT           ",GGW,AK,ALCAN
GRE,"GREAT FALLS, MT       ",GRE,AK,ALCAN
HVR,"HAVRE, MT             ",HVR,AK,ALCAN
HEL,"HELENA, MT            ",HEL,AK,ALCAN
LWT,"LEWISTON, MT          ",LWT,AK,ALCAN
MGM,"MORGAN, MT            ",MGM,AK,ALCAN
OPH,"OPHEIM, MT            ",OPH,AK,ALCAN
PIE,"PIEGAN, MT            ",PIE,AK,ALCAN
RAY,"RAYMOND, MT           ",RAY,AK,ALCAN
ROO,"ROOSVILLE, MT         ",ROO,AK,ALCAN
SCO,"SCOBEY, MT            ",SCO,AK,ALCAN
SWE,"SWEETGTASS, MT        ",SWE,AK,ALCAN
TRL,"TRIAL CREEK, MT       ",TRL,AK,ALCAN
TUR,"TURNER, MT            ",TUR,AK,ALCAN
WCM,"WILLOW CREEK, MT      ",WCM,AK,ALCAN
CLT,"CHARLOTTE, NC         ",CLT,AK,ALCAN
FAY,"FAYETTEVILLE, NC",FAY,AK,ALCAN
MRH,"MOREHEAD CITY, NC     ",MRH,AK,ALCAN
FOP,"MORRIS FIELDS AAF, NC",FOP,AK,ALCAN
GSO,"PIEDMONT TRIAD INTL AIRPORT, NC",GSO,AK,ALCAN
RDU,"RALEIGH/DURHAM, NC    ",RDU,AK,ALCAN
SSC,"SHAW AFB - SUMTER, NC",SSC,AK,ALCAN
WIL,"WILMINGTON, NC        ",WIL,AK,ALCAN
AMB,"AMBROSE, ND           ",AMB,AK,ALCAN
ANT,"ANTLER, ND            ",ANT,AK,ALCAN
CRY,"CARBURY, ND           ",CRY,AK,ALCAN
DNS,"DUNSEITH, ND          ",DNS,AK,ALCAN
FAR,"FARGO, ND             ",FAR,AK,ALCAN
FRT,"FORTUNA, ND           ",FRT,AK,ALCAN
GRF,"GRAND FORKS, ND       ",GRF,AK,ALCAN
HNN,"HANNAH, ND            ",HNN,AK,ALCAN
HNS,"HANSBORO, ND          ",HNS,AK,ALCAN
MAI,"MAIDA, ND             ",MAI,AK,ALCAN
MND,"MINOT, ND             ",MND,AK,ALCAN
NEC,"NECHE, ND             ",NEC,AK,ALCAN
NOO,"NOONAN, ND            ",NOO,AK,ALCAN
NRG,"NORTHGATE, ND         ",NRG,AK,ALCAN
PEM,"PEMBINA, ND           ",PEM,AK,ALCAN
SAR,"SARLES, ND            ",SAR,AK,ALCAN
SHR,"SHERWOOD, ND          ",SHR,AK,ALCAN
SJO,"ST JOHN, ND           ",SJO,AK,ALCAN
WAL,"WALHALLA, ND          ",WAL,AK,ALCAN
WHO,"WESTHOPE, ND          ",WHO,AK,ALCAN
WND,"WILLISTON, ND         ",WND,AK,ALCAN
OMA,"OMAHA, NE             ",OMA,AK,ALCAN
LEB,"LEBANON, NH           ",LEB,AK,ALCAN
MHT,"MANCHESTER, NH",MHT,AK,ALCAN
PNH,"PITTSBURG, NH         ",PNH,AK,ALCAN
PSM,"PORTSMOUTH, NH        ",PSM,AK,ALCAN
BYO,"BAYONNE, NJ           ",BYO,AK,ALCAN
CNJ,"CAMDEN, NJ            ",CNJ,AK,ALCAN
HOB,"HOBOKEN, NJ           ",HOB,AK,ALCAN
JER,"JERSEY CITY, NJ       ",JER,AK,ALCAN
WRI,"MC GUIRE AFB - WRIGHTSOWN, NJ",WRI,AK,ALCAN
MMU,"MORRISTOWN, NJ",MMU,AK,ALCAN
NEW,"NEWARK/TETERBORO, NJ  ",NEW,AK,ALCAN
PER,"PERTH AMBOY, NJ       ",PER,AK,ALCAN
ACY,"POMONA FIELD - ATLANTIC CITY, NJ",ACY,AK,ALCAN
ALA,"ALAMAGORDO, NM (BPS)",ALA,AK,ALCAN
ABQ,"ALBUQUERQUE, NM       ",ABQ,AK,ALCAN
ANP,"ANTELOPE WELLS, NM    ",ANP,AK,ALCAN
CRL,"CARLSBAD, NM          ",CRL,AK,ALCAN
COL,"COLUMBUS, NM          ",COL,AK,ALCAN
CDD,"CRANE LAKE - ST. LOUIS CNTY, NM",CDD,AK,ALCAN
DNM,"DEMING, NM (BPS)",DNM,AK,ALCAN
LAS,"LAS CRUCES, NM        ",LAS,AK,ALCAN
LOB,"LORDSBURG, NM (BPS)",LOB,AK,ALCAN
RUI,"RUIDOSO, NM",RUI,AK,ALCAN
STR,"SANTA TERESA, NM      ",STR,AK,ALCAN
RNO,"CANNON INTL - RENO/TAHOE, NV",RNO,AK,ALCAN
FLX,"FALLON MUNICIPAL AIRPORT, NV",FLX,AK,ALCAN
LVG,"LAS VEGAS, NV         ",LVG,AK,ALCAN
REN,"RENO, NV              ",REN,AK,ALCAN
ALB,"ALBANY, NY            ",ALB,AK,ALCAN
AXB,"ALEXANDRIA BAY, NY    ",AXB,AK,ALCAN
BUF,"BUFFALO, NY           ",BUF,AK,ALCAN
